Retailer,Brand,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Margin,Operating Profit,Sales Method
Sports Direct,H&M,6500567,1/1/2020,Southeast,Tennessee,Nashville,THOMPSON woven sport pants,50.83,2,101.66,34.14%,34.71,Outlet
Walmart,H&M,7413540,2/1/2020,Northeast,New York,New York City,THOMPSON woven sport pants,50.83,1,50.83,28.56%,14.52,In-store
Foot Locker,H&M,7773186,3/1/2020,Northeast,Pennsylvania,Philadelphia,THOMPSON woven sport pants,50.83,1,50.83,29.73%,15.11,In-store
Foot Locker,H&M,7599348,4/1/2020,West,California,Los Angeles,THOMPSON woven sport pants,50.36,1,50.36,46.82%,23.58,Outlet
Walmart,H&M,7007102,5/1/2020,West,California,Los Angeles,THOMPSON woven sport pants,50.83,2,101.66,46.84%,47.62,Outlet
Foot Locker,H&M,7881073,6/1/2020,Southeast,Alabama,Birmingham,THOMPSON woven sport pants,50.83,2,101.66,32.29%,32.82,In-store
West Gear,H&M,3319086,7/1/2020,Southeast,Alabama,Birmingham,THOMPSON woven sport pants,48.29,1,48.29,33.46%,16.16,Online
West Gear,H&M,2939121,8/1/2020,Midwest,Illinois,Chicago,THOMPSON woven sport pants,50.83,1,50.83,27.03%,13.74,Outlet
Sports Direct,H&M,1346164,21/1/2020,Midwest,Illinois,Chicago,THOMPSON woven sport pants,36.59,1,36.59,25.04%,9.16,Outlet
Foot Locker,H&M,5998687,22/1/2020,Midwest,Michigan,Detroit,THOMPSON woven sport pants,50.83,2,101.66,36.18%,36.78,Online
Walmart,H&M,5699333,23/1/2020,South,Texas,Houston,THOMPSON woven sport pants,40.68,2,81.36,41.75%,33.96,Online
Sports Direct,H&M,5160780,24/1/2020,South,Texas,Houston,THOMPSON woven sport pants,45.75,2,91.49,36.82%,33.69,In-store
Walmart,H&M,1941591,25/1/2020,Northeast,Pennsylvania,Philadelphia,THOMPSON woven sport pants,50.83,3,152.49,46.41%,70.78,Outlet
West Gear,H&M,2331556,26/1/2020,Midwest,Illinois,Chicago,THOMPSON woven sport pants,50.83,4,203.32,31.42%,63.88,In-store
West Gear,H&M,9288530,27/1/2020,Northeast,Pennsylvania,Philadelphia,THOMPSON woven sport pants,50.83,3,152.49,26.50%,40.41,Online
West Gear,H&M,8872169,28/1/2020,Midwest,Michigan,Detroit,THOMPSON woven sport pants,50.83,1,50.83,41.59%,21.14,Outlet
Walmart,H&M,6874056,29/1/2020,Northeast,New York,New York City,THOMPSON woven sport pants,39.15,1,39.15,49.05%,19.2,Online
Walmart,H&M,5985899,30/1/2020,Northeast,New York,New York City,THOMPSON woven sport pants,50.83,3,152.49,36.67%,55.92,In-store
West Gear,H&M,9149026,31/1/2020,South,Georgia,Atlanta,THOMPSON woven sport pants,50.83,1,50.83,43.80%,22.26,In-store
West Gear,H&M,8757221,1/2/2020,Southeast,Alabama,Birmingham,THOMPSON woven sport pants,50.83,1,50.83,32.98%,16.76,Outlet
Sports Direct,H&M,6689824,2/2/2020,West,Nevada,Las Vegas,THOMPSON woven sport pants,50.83,2,101.66,33.52%,34.07,Outlet
Sports Direct,H&M,7578729,3/2/2020,Midwest,Illinois,Chicago,THOMPSON woven sport pants,41.59,1,41.59,35.13%,14.61,Outlet
West Gear,H&M,2718344,4/2/2020,Southeast,Alabama,Birmingham,THOMPSON woven sport pants,50.83,3,152.49,46.27%,70.56,Outlet
Sports Direct,H&M,4945569,5/2/2020,Midwest,Illinois,Chicago,THOMPSON woven sport pants,44.47,1,44.47,48.41%,21.53,Online
Foot Locker,H&M,3543602,6/2/2020,West,Nevada,Las Vegas,THOMPSON woven sport pants,40.66,1,40.66,31.63%,12.86,In-store
Walmart,H&M,8922238,7/2/2020,Northeast,New York,New York City,THOMPSON woven sport pants,40.66,2,81.32,48.07%,39.09,Outlet
Sports Direct,H&M,1499414,8/2/2020,West,California,Los Angeles,THOMPSON woven sport pants,50.83,3,152.49,28.93%,44.12,Outlet
West Gear,H&M,3945250,9/2/2020,Southeast,Tennessee,Nashville,THOMPSON woven sport pants,43.2,1,43.2,37.23%,16.08,Outlet
Walmart,H&M,4462738,10/2/2020,Southeast,Florida,Miami,THOMPSON woven sport pants,48.29,2,96.58,47.72%,46.08,Outlet
West Gear,H&M,9024789,3/3/2020,South,Louisiana,New Orleans,THOMPSON woven sport pants,40.66,1,40.66,48.40%,19.68,Outlet
Foot Locker,H&M,9509387,4/3/2020,South,Texas,Houston,THOMPSON woven sport pants,50.83,1,50.83,36.06%,18.33,Online
West Gear,H&M,5073169,5/3/2020,Northeast,Pennsylvania,Philadelphia,THOMPSON woven sport pants,50.83,2,101.66,26.61%,27.05,In-store
Walmart,H&M,7662174,6/3/2020,Midwest,Illinois,Chicago,THOMPSON woven sport pants,50.83,1,50.83,28.00%,14.23,Outlet
Sports Direct,H&M,9495902,7/3/2020,Midwest,Illinois,Chicago,THOMPSON woven sport pants,46.66,1,46.66,25.32%,11.81,Outlet
Sports Direct,H&M,1834441,8/3/2020,West,Washington,Seattle,THOMPSON woven sport pants,50.83,1,50.83,47.46%,24.12,Online
Sports Direct,H&M,5850902,9/3/2020,Midwest,Ohio,Cleveland,THOMPSON woven sport pants,45.75,1,45.75,30.96%,14.17,In-store
West Gear,H&M,3259090,10/3/2020,Southeast,Florida,Miami,THOMPSON woven sport pants,50.83,1,50.83,39.54%,20.1,In-store
West Gear,H&M,9370105,11/3/2020,Northeast,New York,New York City,THOMPSON woven sport pants,50.83,2,101.66,33.35%,33.91,In-store
Walmart,H&M,8294114,12/3/2020,Northeast,Massachusetts,Boston,THOMPSON woven sport pants,50.83,1,50.83,37.00%,18.81,Outlet
Foot Locker,H&M,2748141,13/3/2020,Midwest,Michigan,Detroit,THOMPSON woven sport pants,43.71,2,87.42,32.69%,28.58,In-store
Sports Direct,H&M,1389149,14/3/2020,Midwest,Michigan,Detroit,THOMPSON woven sport pants,50.83,1,50.83,46.35%,23.56,In-store
West Gear,H&M,9723774,15/3/2020,West,Washington,Seattle,THOMPSON woven sport pants,50.83,1,50.83,39.40%,20.03,Online
Foot Locker,H&M,8680545,16/3/2020,West,Washington,Seattle,THOMPSON woven sport pants,50.83,1,50.83,37.69%,19.16,In-store
Foot Locker,H&M,4417668,17/3/2020,West,Nevada,Las Vegas,THOMPSON woven sport pants,50.83,2,101.66,49.54%,50.37,Outlet
Foot Locker,H&M,2019257,18/3/2020,Northeast,Massachusetts,Boston,THOMPSON woven sport pants,50.83,8,406.64,39.17%,159.3,In-store
Walmart,H&M,4353731,31/3/2020,Southeast,Florida,Miami,THOMPSON woven sport pants,50.83,4,203.32,26.74%,54.37,Online
Sports Direct,H&M,4970837,17/4/2020,West,Nevada,Las Vegas,THOMPSON woven sport pants,50.83,1,50.83,26.94%,13.7,Online
West Gear,H&M,4543733,18/4/2020,West,Washington,Seattle,THOMPSON woven sport pants,50.31,3,150.92,39.89%,60.2,In-store
Sports Direct,H&M,7247610,19/4/2020,Midwest,Michigan,Detroit,THOMPSON woven sport pants,50.83,2,101.66,48.51%,49.31,Outlet
Sports Direct,H&M,1821989,20/4/2020,Midwest,Illinois,Chicago,THOMPSON woven sport pants,45.75,1,45.75,27.91%,12.77,In-store
